lemma,left,right,log_ratio,abs_log_ratio
ore,8,5,0.5849625007,0.5849625007
affoler,11,7,0.5849625007,0.5849625007
émotion,218,145,0.5849625007,0.5849625007
ipad,8,5,0.5849625007,0.5849625007
respiration,17,11,0.5849625007,0.5849625007
retweeter,17,11,0.5849625007,0.5849625007
ménagère,8,5,0.5849625007,0.5849625007
lolo,11,7,0.5849625007,0.5849625007
perturbation,17,11,0.5849625007,0.5849625007
estell,11,7,0.5849625007,0.5849625007
individualiste,14,9,0.5849625007,0.5849625007
discrimination,182,121,0.5849625007,0.5849625007
lily,8,5,0.5849625007,0.5849625007
calibrer,8,5,0.5849625007,0.5849625007
coopératif,8,5,0.5849625007,0.5849625007
telecom,8,5,0.5849625007,0.5849625007
filoche,11,7,0.5849625007,0.5849625007
déroulement,8,5,0.5849625007,0.5849625007
defender,11,7,0.5849625007,0.5849625007
simulation,17,11,0.5849625007,0.5849625007
punch,8,5,0.5849625007,0.5849625007
sauvagerie,8,5,0.5849625007,0.5849625007
inintéressant,8,5,0.5849625007,0.5849625007
espere,17,11,0.5849625007,0.5849625007
astro,8,5,0.5849625007,0.5849625007
echec,8,5,0.5849625007,0.5849625007
mito,8,5,0.5849625007,0.5849625007
tomate,26,17,0.5849625007,0.5849625007
exhaustif,23,15,0.5849625007,0.5849625007
jocond,8,5,0.5849625007,0.5849625007
cumuler,47,31,0.5849625007,0.5849625007
meriter,8,5,0.5849625007,0.5849625007
confortablement,8,5,0.5849625007,0.5849625007
verger,8,5,0.5849625007,0.5849625007
dd,14,9,0.5849625007,0.5849625007
feignant,8,5,0.5849625007,0.5849625007
joi,8,5,0.5849625007,0.5849625007
consterner,14,9,0.5849625007,0.5849625007
inclusive,23,15,0.5849625007,0.5849625007
slimane,11,7,0.5849625007,0.5849625007
tandem,14,9,0.5849625007,0.5849625007
stéphane,68,45,0.5849625007,0.5849625007
potable,29,19,0.5849625007,0.5849625007
analogie,14,9,0.5849625007,0.5849625007
braderie,8,5,0.5849625007,0.5849625007
selle,8,5,0.5849625007,0.5849625007
pace,8,5,0.5849625007,0.5849625007
désarroi,11,7,0.5849625007,0.5849625007
w,17,11,0.5849625007,0.5849625007
scott,11,7,0.5849625007,0.5849625007
raquel,8,5,0.5849625007,0.5849625007
aujourdhui,8,5,0.5849625007,0.5849625007
cn,8,5,0.5849625007,0.5849625007
poupée,20,13,0.5849625007,0.5849625007
masqué,8,5,0.5849625007,0.5849625007
empathique,8,5,0.5849625007,0.5849625007
clermontferrand,8,5,0.5849625007,0.5849625007
👁,17,11,0.5849625007,0.5849625007
désagréable,26,17,0.5849625007,0.5849625007
ogm,17,11,0.5849625007,0.5849625007
lapsus,17,11,0.5849625007,0.5849625007
kon,8,5,0.5849625007,0.5849625007
résilier,20,13,0.5849625007,0.5849625007
mickael,11,7,0.5849625007,0.5849625007
more,8,5,0.5849625007,0.5849625007
urssaf,29,19,0.5849625007,0.5849625007
assigner,17,11,0.5849625007,0.5849625007
transpercer,8,5,0.5849625007,0.5849625007
sommation,11,7,0.5849625007,0.5849625007
racister,8,5,0.5849625007,0.5849625007
penchant,8,5,0.5849625007,0.5849625007
musicien,20,13,0.5849625007,0.5849625007
prairie,8,5,0.5849625007,0.5849625007
mond,8,5,0.5849625007,0.5849625007
rapporteur,23,15,0.5849625007,0.5849625007
téléphonique,29,19,0.5849625007,0.5849625007
🫨,8,5,0.5849625007,0.5849625007
fulgurant,8,5,0.5849625007,0.5849625007
référent,17,11,0.5849625007,0.5849625007
escargot,8,5,0.5849625007,0.5849625007
répétitif,11,7,0.5849625007,0.5849625007
🍃,11,7,0.5849625007,0.5849625007
délirer,11,7,0.5849625007,0.5849625007
exiler,23,15,0.5849625007,0.5849625007
vallée,17,11,0.5849625007,0.5849625007
rance,20,13,0.5849625007,0.5849625007
poignant,32,21,0.5849625007,0.5849625007
map,17,11,0.5849625007,0.5849625007
camper,8,5,0.5849625007,0.5849625007
terrifier,17,11,0.5849625007,0.5849625007
collier,23,15,0.5849625007,0.5849625007
existaient,23,15,0.5849625007,0.5849625007
soc,17,11,0.5849625007,0.5849625007
moniteur,8,5,0.5849625007,0.5849625007
finland,8,5,0.5849625007,0.5849625007
galérer,32,21,0.5849625007,0.5849625007
dépose,20,13,0.5849625007,0.5849625007
bichette,11,7,0.5849625007,0.5849625007
durablement,17,11,0.5849625007,0.5849625007
lucet,11,7,0.5849625007,0.5849625007
romancier,11,7,0.5849625007,0.5849625007
pay,17,11,0.5849625007,0.5849625007
ponctuel,14,9,0.5849625007,0.5849625007
thevenot,8,5,0.5849625007,0.5849625007
mardi,182,121,0.5849625007,0.5849625007
bourré,44,29,0.5849625007,0.5849625007
insuffisance,8,5,0.5849625007,0.5849625007
croatie,11,7,0.5849625007,0.5849625007
